053c4699;053c4699;Gambler Jiko Chuushin Ha< - Mahjong Game> (Mapper 2 Pirate);34;0;16;0;JM;Asmik
0546bd12;3cdea85b;Fushigi no Umi no Nadia;67;0;8;16;J;Toho
054cb4eb;283913f2;Astyanax;65;0;8;16;U;Jaleco
0573f281;0573f281;Final Fantasy (Bad Dump);18;0;16;0;JB;Square
058f23a2;7b1b4dd0;Image Fight;64;0;8;16;U;Irem
0590e67b;00000000;Bloody Ax Bros. (SMB1 Hack);1;0;2;1;GH
059e0cdf;9bf99c3a;Eliminator Boat Duel;16;0;8;16;U;Electro Brain
05a688c8;05a688c8;Casino Kid;32;0;8;0;U;Sofel
05ce560c;69684e1e;Legends of the Diamond;65;0;8;32;U;Bandai
05f04eac;ee711afb;SD Keiji - Blader;34;80;8;16;J;Taito
060f6e75;e3664231;Meikyuu Kumikyoku;49;0;2;4;J;Hudson Soft
06144b4a;adb47286;Napoleon Senki;216;64;8;4;J;Irem
063e5653;0e2ae6e1;Addams Family - Pugsley's Scavenger Hunt, The;16;0;8;16;U;Ocean
06689aa4;cf8e4ca4;Wrath of the Black Manta;16;0;8;16;E;Taito
067bd24c;067bd24c;<Aoki Ookami to Shiroki Mejika - >Genghis Khan (Hacked);18;0;16;0;JH;Koei
06961be4;0d6b2b30;Skate or Die 2;16;0;16;16;U;Electronic Arts
06bb007a;ff2c8ee4;Dynamite Batman (FFE Pirate);16;16;8;32;JM;Sunsoft
06c4fd92;00000000*16,16;Skate or Die 2 (Wrong Size);16;0;16;32;U;Electronic Arts
06d2a80f;00000000;Super Mystery Science Theater 3000 (SMB1 Hack);1;0;2;1;GH
06d72c83;06d72c83;Fist of the North Star;33;0;8;0;U;Taxan
06f9c714;92edac5e;Ninja Jajamaru< - Ginga Dai Sakusen>;32;16;8;16;J;Jaleco
0719260c;03dcfddb;Cadillac;49;0;2;4;J;Hector
071f2e80;071f2e80;Phantom Fighter (Bad CHR 1);16;0;16;0;UB;FCI
074ec424;a3d59f62;Arabian Dream Sherazaado;16;0;8;16;J;Culture Brain
07838ef9;00000000;Mario Bros.;1;2;1;1;P;Nintendo
078ced30;bd2269ad;<Choujin - >Ultra Baseball;18;0;8;16;J;Culture Brain
0794f2a5;0794f2a5;Dragon Quest 4;18;0;32;0;J;Enix
07964c82;4e8e2951;Sted< - Starfield of Memorable Relics> (English v1.0);18;0;8;16;T;J2E Translations
07977186;38a02977;Hiryuu no Ken Special< - Fighting Wars>;16;0;8;16;J;Culture Brain
07d92c31;42e03e4a;RPG Jinsei Game;65;0;16;16;J
07e20334;9694bfb8;Battleship (Bad PRG);48;0;2;4;UB;Mindscape
08077383;18ba5ac0;Mighty Bomb Jack;48;0;2;2;U;Tecmo
083e4fc1;5755a36c;Parodius;65;0;8;16;E;Palcom
085de7c9;4788c2a2;Die Hard;16;0;8;16;U;Activision
08626711;08626711;Ikari 2< - Dogosoken> (Mapper 2 Hack) (Bad CHR);32;0;16;0;JMB;K Amusement Lease
0868ae06;00000000;Hungry Mario (SMB1 Hack);1;0;2;1;GH
0897021b;11fc8686;Gremlin 2< - Shinshu Tanjou>;80;64;8;32;J;Sunsoft
08adc2d4;5a41a157;Golgo 13 - Top Secret Episode (Spanish v1.0);16;0;8;16;T;DJ Traducciones
08b04364;a0a6e860;Double Dribble;33;2;8;0;P;Konami
0902c8f0;3403b1fc;Sanada Juu Yuushi;18;0;8;16;J;Kemco
091c6354;a45c08f2;Mario Zelda (SMB1 Hack);1;0;2;1;GH
091ed5a9;408d72db;Kyuukyoku Tiger;65;0;8;16;J;CBS Sony Group
092ec15c;8aa7cce1;Ikinari Musician;49;0;2;2;J;Toukyou Shoseki
0939852f;0939852f;M.U.L.E.;16;0;8;0;U;Mindscape
093e845f;ebac24e9;Artelius;18;0;8;4;J;Nihon Bussan
0944d36b;00000000;Little Robo-Knight (SMB1 Hack);1;0;2;1;GH
